Borough,Population 30 September 2010,Area in km²,Largest Non-German ethnic groups
Mitte,332100,39.47,"Turks, Arabs, Kurds, many Asians, Africans and Western Europeans."
Friedrichshain-Kreuzberg,268831,20.16,"Turks, Arabs, African, Kurds, Chinese"
Pankow,368956,103.01,"Poles, Italians, French, Americans, Vietnamese, British"
Charlottenburg-Wilmersdorf,320014,64.72,"Turks, Africans, Russians, Arabs, others."
Spandau,225420,91.91,"Turks, Africans, Russians, Arabs, others."
Steglitz-Zehlendorf,293989,102.5,"Poles, Turks, Croats, Serbs, Koreans"
Tempelhof-Schöneberg,335060,53.09,"Turks, Croats, Serbs, Koreans, Africans"
Neukölln,310283,44.93,"Arabs, Turks, Kurds, Russians, Africans, Poles"
Treptow-Köpenick,241335,168.42,"Russians, Poles, Ukrainians, Vietnamese"
Marzahn-Hellersdorf,248264,61.74,"Russians, Vietnamese, several other Eastern Europeans."
Lichtenberg,259881,52.29,"Vietnamese, Russians, Ukrainians, Poles, Chinese"
